Building,UWG,Location Summary,,,,,,,,,,,,,,,,,
,,,,Miami,Houston,Phoenix,Atlanta,Los Angeles,Las Vegas,San Francisco,Baltimore,Albuquerque,Seattle,Chicago,Boulder,Minneapolis,Helena,Duluth,Fairbanks
BLD1PRE,,Program,,,,,,,,,,,,,,,,,
BLD1PRE,Zone,,ASHRAE 90.1-2004 Climate Zone,1A,2A,2B,3A,3B-CA,3B,3C,4A,4B,4C,5A,5B,6A,6B,7,8
BLD1PRE,,,Available Fuel Types,"gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity","gas, electricity"
BLD1PRE,,Fabric,,,,,,,,,,,,,,,,,
BLD1PRE,,,Exterior walls,,,,,,,,,,,,,,,,
BLD1PRE,TypeWall,,Construction Type,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame,SteelFrame
BLD1PRE,RvalWall,,R-value (m2·K / W),0.77,0.77,0.77,0.78,0.77,0.77,0.79,0.99,0.96,1.01,1.13,1.09,1.22,1.22,1.30,1.41
BLD1PRE,,,Roof,,,,,,,,,,,,,,,,
BLD1PRE,TypeRoof,,Construction Type,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD,IEAD
BLD1PRE,RvalRoof,,R-value (m2·K / W),1.76,1.76,1.76,1.76,1.76,1.76,1.76,2.04,1.98,2.07,2.50,2.37,2.99,2.99,2.93,2.99
BLD1PRE,,,Window,,,,,,,,,,,,,,,,
BLD1PRE,Uwindow,,U-Factor (W / m2·K),5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,3.53,3.53,3.53,3.53,3.53,3.53
BLD1PRE,SHGC,,SHGC,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41
BLD1PRE,,,Visible transmittance,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.32,0.32,0.32,0.32,0.32,0.32
BLD1PRE,,,Foundation,,,,,,,,,,,,,,,,
BLD1PRE,,,Foundation Type,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor,Mass Floor
BLD1PRE,,,Construction,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade,4in slab-on-grade
BLD1PRE,,,R-value (m2·K / W),0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
BLD1PRE,,HVAC,,,,,,,,,,,,,,,,,
BLD1PRE,,,HVAC Sizing,,,,,,,,,,,,,,,,
BLD1PRE,HVAC,,Air Conditioning (kW),126.29,130.17,135.63,131.72,114.98,135.33,81.22,122.35,113.73,94.67,114.43,103.76,113.96,84.58,108.92,93.27
BLD1PRE,,,PSZ-AC_1:1_COOLC DXCOIL,101.79,104.88,108.93,106.18,94.18,108.80,67.43,99.47,89.39,77.52,90.47,81.34,86.91,65.33,79.81,67.64
BLD1PRE,,,PSZ-AC_2:2_COOLC DXCOIL,24.50,25.29,26.70,25.54,20.80,26.53,13.79,22.89,24.33,17.15,23.96,22.42,27.06,19.25,29.11,25.63
BLD1PRE,HEAT,,Heating (kW),174.50,224.27,199.53,239.67,167.71,210.77,169.66,251.19,214.03,206.36,282.77,235.95,310.11,288.85,316.89,446.73
BLD1PRE,,,PSZ-AC_1:1_HEATC,136.30,172.22,153.16,182.98,133.98,160.96,138.47,194.63,162.29,165.10,213.58,178.93,225.68,206.73,223.92,294.68
BLD1PRE,,,PSZ-AC_2:2_HEATC,38.20,52.05,46.36,56.70,33.72,49.81,31.19,56.56,51.73,41.26,69.19,57.02,84.43,82.12,92.96,152.05
BLD1PRE,,,HVAC Efficiency,,,,,,,,,,,,,,,,
BLD1PRE,COP,,Air Conditioning (COP),3.28237979,3.282454012,3.283151023,3.282344612,3.27883371,3.282938905,3.362815208,3.280502701,3.28776707,3.309704256,3.28654303,3.288337738,3.294103634,3.345527032,3.302152987,3.354954785
BLD1PRE,,,PSZ-AC_1:1_COOLC DXCOIL,3.23,3.23,3.23,3.23,3.23,3.23,3.30,3.23,3.23,3.23,3.23,3.23,3.23,3.30,3.23,3.30
BLD1PRE,,,PSZ-AC_2:2_COOLC DXCOIL,3.50,3.50,3.50,3.50,3.50,3.50,3.67,3.50,3.50,3.67,3.50,3.50,3.50,3.50,3.50,3.50
BLD1PRE,EffHeat,,Heating Efficiency (%),0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD1PRE,,,PSZ-AC_1:1_HEATC,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD1PRE,,,PSZ-AC_2:2_HEATC,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
BLD1PRE,,,HVAC Control - Economizer,,,,,,,,,,,,,,,,
BLD1PRE,,,PSZ-AC_1:1,NoEconomizer,NoEconomizer,DifferentialDryBulb,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb,DifferentialDryBulb
BLD1PRE,,,PSZ-AC_2:2,NoEconomizer,NoEconomizer,NoEconomizer,NoEconomizer,DifferentialDryBulb,DifferentialDryBulb,NoEconomizer,NoEconomizer,DifferentialDryBulb,NoEconomizer,NoEconomizer,DifferentialDryBulb,NoEconomizer,DifferentialDryBulb,NoEconomizer,NoEconomizer
BLD1PRE,Fan,,Fan Max Flow Rate (m3/s ),6.98,7.13,7.36,7.2,6.55,7.34,6.11,6.82,7.31,6.36,6.5,6.77,6.48,6.62,6.27,7.53
BLD1PRE,,,DINING EXHAUST FAN,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
BLD1PRE,,,KITCHEN EXHAUST FAN,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
BLD1PRE,,,PSZ-AC_1:1_FAN,4.1,4.22,4.39,4.28,3.82,4.38,3.52,4.01,4.36,3.69,3.64,3.9,3.5,3.57,3.21,4.09
BLD1PRE,,,PSZ-AC_2:2_FAN,0.99,1.02,1.08,1.03,0.84,1.07,0.7,0.92,1.06,0.78,0.97,0.98,1.09,1.16,1.17,1.55
BLD1PRE,,Utility Costs,,,,,,,,,,,,,,,,,
BLD1PRE,,,Electric Utility Rates,,,,,,,,,,,,,,,,
BLD1PRE,,,Average Annual Rate ($/kWh),0.07728,0.10745,0.09469,0.10288,0.12397,0.09418,0.14437,0.06629,0.03743,0.06970,0.05182,0.03745,0.05215,0.06802,0.05082,0.08646
BLD1PRE,,,Total Cost ($/m2),69.34,90.73,81.96,80.04,86.9,77.52,97.42,49.56,28.16,47.68,37.19,26.9,34.69,47.35,32.56,60.88
BLD1PRE,,,Gas Utility Rates,,,,,,,,,,,,,,,,
BLD1PRE,,,Average Annual Rate ($/MJ),0.01147,0.00818,0.00857,0.01055,0.00842,0.00810,0.00844,0.00996,0.00713,0.00832,0.00870,0.00712,0.00793,0.00853,0.00792,0.00416
BLD1PRE,,,Total Cost ($/m2),21.95,19.53,19.02,30.15,18.84,20.15,23.67,35.77,21.85,28.85,36.45,25.69,39.18,37,45.38,31.45
BLD1PRE,,,Total Utility Costs,,,,,,,,,,,,,,,,
BLD1PRE,,,Cost Intensity ($/m2),91.28,110.26,100.98,110.19,105.74,97.67,121.09,85.33,50,76.53,73.63,52.59,73.87,84.35,77.94,92.33
BLD1PRE,,Energy - End Uses,,,,,,,,,,,,,,,,,
BLD1PRE,,,Electricity (kWh),,,,,,,,,,,,,,,,
BLD1PRE,,,Heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Cooling,"106,444.44","77,786.11","86,311.11","43,188.89","11,755.56","64,558.33","4,255.56","31,841.67","28,213.89","5,688.89","20,458.33","17,144.44","16,138.89","9,241.67","5,497.22","2,480.56"
BLD1PRE,,,Interior Lighting,"80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00","80,500.00"
BLD1PRE,,,Exterior Lighting,"22,216.67","22,177.78","22,172.22","22,208.33","22,202.78","22,183.33","22,158.33","22,180.56","22,177.78","22,144.44","22,150.00","22,155.56","22,169.44","22,141.67","22,136.11","22,002.78"
BLD1PRE,,,Interior Equipment,"166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78","166,402.78"
BLD1PRE,,,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Fans,"64,338.89","66,772.22","69,227.78","68,186.11","60,183.33","69,741.67","55,047.22","64,519.44","70,616.67","58,675.00","61,016.67","64,769.44","38,658.33","61,652.78","37,322.22","73,286.11"
BLD1PRE,,,Refrigeration,"18,711.11","17,941.67","17,855.56","17,183.33","17,261.11","17,313.89","16,569.44","16,672.22","16,594.44","16,244.44","16,327.78","16,202.78","16,158.33","15,886.11","15,636.11","15,241.67"
BLD1PRE,,,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Total End Uses,"458,616.67","431,583.33","442,472.22","397,672.22","358,308.33","420,700.00","344,933.33","382,122.22","384,511.11","349,655.56","366,858.33","367,177.78","340,030.56","355,827.78","327,494.44","359,916.67"
BLD1PRE,,,Gas (MJ),,,,,,,,,,,,,,,,
BLD1PRE,,,Heating,"15,000.00","225,450.00","158,220.00","436,910.00","125,570.00","274,510.00","389,790.00","787,850.00","522,630.00","711,350.00","1,071,950.00","777,430.00","1,440,390.00","1,128,160.00","1,813,340.00","2,709,610.00"
BLD1PRE,,,Interior Equipment,"800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00","800,920.00"
BLD1PRE,,,Water Systems,"162,420.00","193,490.00","175,620.00","223,430.00","217,630.00","197,140.00","243,250.00","246,970.00","242,510.00","259,220.00","267,630.00","266,550.00","285,480.00","288,730.00","314,930.00","350,570.00"
BLD1PRE,,,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Total End Uses,"978,340.00","1,219,860.00","1,134,760.00","1,461,260.00","1,144,110.00","1,272,570.00","1,433,960.00","1,835,740.00","1,566,050.00","1,771,490.00","2,140,500.00","1,844,910.00","2,526,800.00","2,217,810.00","2,929,190.00","3,861,100.00"
BLD1PRE,,,Total Building (MJ),"2,629,350","2,773,550","2,727,660","2,892,880","2,434,020","2,787,090","2,675,720","3,211,380","2,950,290","3,030,250","3,461,200","3,166,750","3,750,910","3,498,790","4,108,170","5,156,790"
BLD1PRE,,Energy - End Use Intensities,,,,,,,,,,,,,,,,,
BLD1PRE,,,Electricity (MJ/m2),,,,,,,,,,,,,,,,
BLD1PRE,,,Heating (elec),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Cooling (elec),749.68,547.84,607.88,304.18,82.79,454.68,29.97,224.26,198.71,40.07,144.09,120.75,113.67,65.09,38.72,17.47
BLD1PRE,,,Interior Lighting (elec),566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96,566.96
BLD1PRE,,,Exterior Lighting (elec),156.47,156.20,156.16,156.41,156.37,156.24,156.06,156.22,156.20,155.96,156.00,156.04,156.14,155.94,155.90,154.96
BLD1PRE,,,Interior Equipment (elec),1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97,1171.97
BLD1PRE,,,Exterior Equipment (elec),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Fans (elec),453.14,470.27,487.57,480.23,423.87,491.19,387.69,454.41,497.35,413.24,429.74,456.17,272.27,434.22,262.86,516.15
BLD1PRE,,,Refrigeration (elec),131.78,126.36,125.76,121.02,121.57,121.94,116.70,117.42,116.87,114.41,115.00,114.12,113.80,111.88,110.12,107.35
BLD1PRE,,,Generators (elec),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Total End Uses,3230.01,3039.62,3116.31,2800.78,2523.54,2962.97,2429.35,2691.26,2708.09,2462.60,2583.76,2586.01,2394.82,2506.07,2306.52,2534.87
BLD1PRE,,,Gas (MJ/m2),,,,,,,,,,,,,,,,
BLD1PRE,,,Heating (gas),29.35,441.06,309.54,854.76,245.66,537.04,762.57,1541.33,1022.46,1391.67,2097.13,1520.94,2817.94,2207.10,3547.57,5301.01
BLD1PRE,,,Interior Equipment (gas),1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90,1566.90
BLD1PRE,,,Water Systems (gas),317.75,378.54,343.58,437.11,425.77,385.68,475.89,483.17,474.44,507.13,523.58,521.47,558.51,564.86,616.12,685.85
BLD1PRE,,,Total End Uses,1914.00,2386.50,2220.01,2858.77,2238.31,2489.62,2805.36,3591.39,3063.78,3465.70,4187.62,3609.33,4943.36,4338.86,5730.59,7553.75
BLD1PRE,,,Total Building (MJ/m2),5143.99,5426.10,5336.32,5659.55,4761.85,5452.59,5234.71,6282.66,5771.87,5928.30,6771.40,6195.34,7338.18,6844.94,8037.11,10088.60
BLD1PRE,,Peak Energy Demand,,,,,,,,,,,,,,,,,
BLD1PRE,,,Electricity Peak Demand (kW),,,,,,,,,,,,,,,,
BLD1PRE,,,Jan,73.41,69.11,63.35,56.09,65.20,54.53,52.63,53.71,54.44,53.02,53.07,53.64,50.02,53.09,49.78,55.79
BLD1PRE,,,Feb,75.75,65.88,67.40,57.40,64.90,55.33,54.80,53.60,54.48,53.02,53.03,53.59,49.98,53.21,49.80,54.27
BLD1PRE,,,Mar,75.49,71.66,76.42,62.21,62.21,61.95,52.60,61.85,56.16,53.00,53.93,61.19,50.05,53.16,49.77,54.31
BLD1PRE,,,Apr,79.10,78.38,79.53,68.53,68.21,76.51,56.54,60.70,67.47,53.47,52.87,59.66,53.47,51.57,46.38,54.21
BLD1PRE,,,May,83.63,87.72,96.67,79.66,64.96,86.16,59.00,71.06,74.41,58.78,68.68,68.22,74.31,61.33,54.20,53.29
BLD1PRE,,,Jun,86.82,88.20,105.07,83.07,61.66,102.11,60.08,86.74,81.34,63.24,80.17,77.18,76.65,73.26,63.51,65.56
BLD1PRE,,,Jul,86.14,90.66,101.60,91.09,65.86,99.74,69.87,87.84,85.14,65.81,83.02,77.39,77.66,73.74,70.82,66.71
BLD1PRE,,,Aug,87.37,89.94,103.20,86.28,72.87,96.78,64.02,87.00,78.63,64.67,81.61,77.67,76.60,71.72,66.82,62.74
BLD1PRE,,,Sep,85.17,87.86,94.54,77.98,79.12,90.71,71.41,73.37,72.44,78.08,70.34,72.65,59.98,67.99,54.75,54.45
BLD1PRE,,,Oct,83.71,80.97,79.21,70.95,70.03,76.86,60.02,69.76,67.75,57.86,62.04,65.26,57.01,57.64,54.61,54.41
BLD1PRE,,,Nov,79.27,74.70,72.91,58.75,64.94,58.55,52.84,62.06,54.50,53.46,61.69,53.65,50.19,53.17,49.90,54.31
BLD1PRE,,,Dec,72.94,72.50,61.35,55.29,66.33,57.23,52.64,53.69,54.41,53.00,53.09,53.58,50.02,53.09,49.78,55.91
BLD1PRE,,,Time of Peak Electrical Demand,,,,,,,,,,,,,,,,
BLD1PRE,,,Jan,06-JAN-12:00,03-JAN-12:15,28-JAN-18:15,23-JAN-18:15,26-JAN-12:00,19-JAN-16:00,15-JAN-17:15,09-JAN-07:30,25-JAN-17:30,14-JAN-07:45,18-JAN-07:15,27-JAN-17:15,16-JAN-07:45,10-JAN-07:00,16-JAN-07:45,01-JAN-11:15
BLD1PRE,,,Feb,23-FEB-12:15,22-FEB-18:15,28-FEB-18:30,18-FEB-18:30,12-FEB-12:00,08-FEB-12:00,14-FEB-12:00,15-FEB-17:45,14-FEB-17:45,21-FEB-17:45,27-FEB-18:45,11-FEB-17:30,18-FEB-07:15,02-FEB-17:30,28-FEB-17:00,27-FEB-08:15
BLD1PRE,,,Mar,13-MAR-11:00,25-MAR-17:15,17-MAR-16:15,28-MAR-17:15,30-MAR-11:00,31-MAR-15:00,22-MAR-06:15,09-MAR-18:30,25-MAR-15:45,13-MAR-06:30,14-MAR-17:00,26-MAR-16:30,23-MAR-06:15,09-MAR-18:30,18-MAR-06:15,09-MAR-07:30
BLD1PRE,,,Apr,01-APR-17:15,29-APR-15:15,01-APR-17:15,14-APR-17:15,11-APR-16:15,21-APR-16:15,29-APR-11:00,05-APR-17:15,21-APR-17:15,29-APR-15:15,28-APR-16:15,24-APR-11:00,16-APR-17:15,06-APR-17:15,14-APR-10:15,01-APR-06:15
BLD1PRE,,,May,23-MAY-11:00,26-MAY-17:30,28-MAY-16:00,31-MAY-17:30,29-MAY-11:00,31-MAY-16:15,09-MAY-11:00,31-MAY-16:15,31-MAY-17:15,15-MAY-16:00,30-MAY-17:15,23-MAY-17:15,27-MAY-15:15,16-MAY-17:15,31-MAY-17:15,30-MAY-17:15
BLD1PRE,,,Jun,26-JUN-10:00,13-JUN-17:30,08-JUN-15:00,19-JUN-17:15,28-JUN-11:00,27-JUN-15:00,16-JUN-11:00,30-JUN-16:00,19-JUN-17:15,27-JUN-17:15,08-JUN-11:00,28-JUN-11:00,29-JUN-17:30,30-JUN-15:00,14-JUN-17:30,20-JUN-17:00
BLD1PRE,,,Jul,13-JUL-11:00,30-JUL-15:30,19-JUL-16:00,03-JUL-16:30,29-JUL-10:15,24-JUL-16:15,02-JUL-15:15,25-JUL-10:00,31-JUL-17:30,24-JUL-17:00,14-JUL-11:00,17-JUL-16:15,13-JUL-17:00,21-JUL-16:00,06-JUL-17:30,29-JUL-17:00
BLD1PRE,,,Aug,21-AUG-15:30,27-AUG-16:15,01-AUG-16:00,17-AUG-11:00,08-AUG-11:00,04-AUG-16:15,15-AUG-11:00,17-AUG-15:15,01-AUG-17:15,18-AUG-17:30,04-AUG-16:30,30-AUG-11:00,25-AUG-17:15,09-AUG-17:15,11-AUG-17:30,15-AUG-17:15
BLD1PRE,,,Sep,06-SEP-11:00,16-SEP-11:00,12-SEP-17:15,11-SEP-11:00,24-SEP-10:00,01-SEP-11:00,28-SEP-15:30,05-SEP-11:00,20-SEP-16:00,02-SEP-15:00,06-SEP-11:15,02-SEP-15:15,14-SEP-11:00,01-SEP-17:15,08-SEP-17:00,19-SEP-06:30
BLD1PRE,,,Oct,07-OCT-17:00,29-OCT-15:15,24-OCT-17:45,12-OCT-15:00,19-OCT-10:00,03-OCT-17:30,16-OCT-17:30,20-OCT-17:30,12-OCT-17:45,17-OCT-17:30,31-OCT-17:15,05-OCT-16:15,08-OCT-17:45,05-OCT-17:00,07-OCT-17:45,04-OCT-06:00
BLD1PRE,,,Nov,01-NOV-17:45,27-NOV-18:15,12-NOV-17:30,19-NOV-17:30,20-NOV-12:00,10-NOV-12:00,02-NOV-17:30,04-NOV-17:15,09-NOV-17:15,04-NOV-17:30,02-NOV-17:30,04-NOV-16:00,03-NOV-06:30,21-NOV-18:00,08-NOV-18:45,14-NOV-07:00
BLD1PRE,,,Dec,15-DEC-18:15,02-DEC-18:30,11-DEC-17:30,26-DEC-17:45,19-DEC-12:00,05-DEC-12:00,03-DEC-17:45,23-DEC-07:15,08-DEC-16:00,31-DEC-07:45,12-DEC-16:45,21-DEC-16:45,02-DEC-07:15,29-DEC-08:15,26-DEC-07:30,18-DEC-11:15
BLD1PRE,,Source Energy,,,,,,,,,,,,,,,,,
BLD1PRE,,,Total Source Energy (GJ),"6,545","6,975","6,278","6,412","5,242","6,807","5,409","6,924","6,303","4,127","7,021","6,401","6,967","6,875","7,251","8,845"
BLD1PRE,,,Total Source Energy (MJ/m2),"12,804","13,646","12,281","12,544","10,255","13,317","10,582","13,546","12,331","8,074","13,735","12,522","13,629","13,449","14,185","17,303"
BLD1PRE,,Water Consumption (m3),,,,,,,,,,,,,,,,,
BLD1PRE,,,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLD1PRE,,,Water Systems,"1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36"
BLD1PRE,,,Total Building,"1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36","1,377.36"
BLD1PRE,,Emissions,,,,,,,,,,,,,,,,,
BLD1PRE,,,Carbon Equivalent (kg),"143,417.21","165,956.36","154,034.57","148,848.06","62,505.47","164,839.65","66,169.26","136,220.91","185,311.78","57,411.72","234,189.87","183,260.10","161,955.44","170,026.04","164,920.22","170,901.86"
BLD1PRE,,,CO2 (kg),"342,210.45","424,789.00","373,241.46","354,152.15","171,404.82","402,373.27","182,333.07","326,886.64","447,583.40","152,790.87","562,801.23","445,614.21","399,971.86","417,987.48","411,043.05","454,860.76"
BLD1PRE,,,NOX (kg),559.91,532.51,584.59,605.97,149.79,611.33,159.93,549.18,716.22,180.99,922.98,700.47,609.16,641.76,610.14,500.46
BLD1PRE,,,SO2 (kg),"1,963.32","2,058.98","1,779.58","1,396.22","1,042.94","2,314.53","1,004.10","1,395.39","1,679.50",270.73,"2,472.91","1,603.89",803.21,950.70,773.72,"1,833.15"
BLD1PRE,,,PM (kg),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
