,,Zone Summary,,,,,,,,,,,,,,,,,,
BLD,UWG,Zone Name,Conditioned (Y/N),Multiplier,Area (m2),Volume (m3),Floor-to-Ceiling Height (m),Gross Wall Area  (m2),Window Glass Area (m2),People (m2/per),People,Lights (W/m2),Elec Plug and Process (W/m2),Gas Plug and Process (W/m2),SWH (L/h),Ventilation (L/s/Person),Ventilation (L/s/m2),Ventilation Total (L/s),Exhaust (L/s),Infiltration (ACH)
BLD1PRE,,Dining,Yes,1,372,"1,133",3.05,169,47,1.39,266.77,27.39,60.28,,,10.00,,2667.65,,1.95
BLD1PRE,,Kitchen,Yes,1,139,425,3.05,107,0,18.58,7.50,16.38,376.74,1198.34,503.46,8.00,,60.02,1887.79,2.36
BLD1PRE,Total,Total Conditioned Zones,,,511.2,1558.4,,275.7,47.2,,196.06,24.39,146.59,326.83,503.46,9.45,5.34,5.34,,2.06
BLD1PST,,Dining,Yes,1,372,"1,133",3.05,169,47,1.39,266.77,27.39,60.28,,,10.00,,2667.65,,1.95
BLD1PST,,Kitchen,Yes,1,139,425,3.05,107,0,18.58,7.50,16.38,376.74,1198.34,503.46,8.00,,60.02,1887.79,2.36
BLD1PST,,Attic,No ,1,511,856,1.68,0,0,,,,,,,,,,,1.00
BLD1PST,Total,Total Conditioned Zones,,,511.2,1558.4,,275.7,47.2,,196.06,24.39,146.59,326.83,503.46,9.45,5.34,1956.47,,2.06
BLD1NEW,,Dining,Yes,1,372,"1,133",3.05,169,47,1.39,266.77,22.60,60.28,,,10.00,,2667.65,,0.52
BLD1NEW,,Kitchen,Yes,1,139,425,3.05,107,0,18.58,7.50,12.92,376.74,1198.34,503.46,8.00,,60.02,1887.79,0.63
BLD1NEW,,Attic,No ,1,511,856,1.68,0,0,,,,,,,,,,,1.00
BLD1NEW,Total,Total Conditioned Zones,,,511.2,1558.4,,275.7,47.2,,196.06,19.96,146.59,326.83,503.46,9.45,5.34,1956.47,,0.55